Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-11-16 19:52:50,false,"Cardiff Running","8.02","818","00:50:58","161","172","4.3","157","233","6:21","5:31","37","28","1.00","8.5","8.5","290","6:18","405","0.0","393","729","0.0","0.0","0","0","0","--","0:00","21.0","0:00","No","00:09.61","9","27.0","00:50:43","00:50:58","11","27"
Strength Training,2023-11-13 17:51:51,false,"Strength","0.00","279","00:46:47","97","131","0.6","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","26","1","0:00","0.0","0:00","No","46:47.27","1","0.0","00:46:47","00:46:47","--","--"
Trail Running,2023-11-12 11:59:00,false,"Cardiff Trail Running","13.01","1,515","02:42:48","129","172","3.4","89","239","12:31","3:47","434","432","0.83","8.7","6.9","321","11:55","258","0.0","179","770","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:04.66","14","0.0","02:08:03","02:42:48","94","268"
Running,2023-11-09 12:40:43,false,"Cardiff - 7km alternating","7.01","720","00:44:34","162","180","4.3","153","240","6:22","5:22","43","37","1.02","8.4","8.6","289","6:20","405","0.0","389","571","0.0","0.0","0","0","0","--","0:00","18.0","0:00","No","00:00.89","10","28.0","00:43:33","00:44:34","8","25"
Strength Training,2023-11-07 17:06:38,false,"Strength","0.00","610","01:52:22","97","155","0.7","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","120","1","0:00","0.0","0:00","No","01:52:21.75","1","0.0","01:52:22","01:52:22","--","--"
Running,2023-11-06 18:12:58,false,"Cardiff - 5km alternating steady/easy","5.01","488","00:30:04","157","174","3.8","159","168","6:00","5:11","11","10","1.05","8.4","8.8","291","6:00","411","0.0","408","522","0.0","0.0","0","0","0","--","0:00","18.0","0:00","No","00:04.98","6","29.0","00:30:02","00:30:08","4","10"
Running,2023-11-01 18:34:57,false,"Cardiff Running","5.01","495","00:30:53","157","168","3.6","159","167","6:10","4:01","13","5","1.02","8.6","8.7","294","6:09","419","0.0","415","752","0.0","0.0","0","0","0","--","0:00","19.0","0:00","No","00:04.48","6","28.0","00:30:51","00:30:53","8","17"
Running,2023-10-29 09:58:04,false,"Pembrokeshire - Tenby 10k","9.96","1,039","01:01:10","170","186","5.0","158","240","6:08","4:57","144","136","1.02","8.3","8.5","285","6:04","434","0.0","417","778","0.0","0.0","0","0","0","--","0:00","16.0","0:00","No","05:39.08","10","22.0","01:00:54","01:01:10","5","40"
Running,2023-10-24 18:33:48,false,"Cardiff - 5km Easy","5.00","490","00:31:47","149","162","3.5","157","163","6:21","5:48","13","9","1.00","8.7","8.7","298","6:22","390","0.0","388","463","0.0","0.0","0","0","0","--","0:00","19.0","0:00","No","06:14.20","5","27.0","00:31:45","00:31:47","8","14"
Strength Training,2023-10-23 16:32:00,false,"Strength","0.00","576","01:27:57","105","156","1.1","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","0","0","5","1","0:00","0.0","0:00","No","01:27:57.06","1","0.0","01:27:57","01:27:57","--","--"
Running,2023-10-21 09:01:02,false,"Cardiff Running","5.09","508","00:30:23","164","183","4.1","162","212","5:58","5:21","27","4","1.03","8.4","8.7","286","5:55","422","0.0","419","547","0.0","0.0","0","0","0","--","0:00","18.0","0:00","No","00:29.55","6","23.0","00:30:21","00:30:23","-14","10"
Running,2023-10-15 15:22:49,false,"Cardiff Running","11.05","1,181","01:19:32","160","173","4.5","140","177","7:12","3:46","42","26","0.98","8.6","8.5","295","7:10","380","0.0","343","516","0.0","0.0","0","0","0","--","0:00","21.0","0:00","No","00:20.64","12","28.0","01:11:38","01:19:34","7","18"
Running,2023-10-14 18:40:37,false,"Cardiff Running","6.01","612","00:38:30","159","180","3.8","158","167","6:24","4:54","13","14","0.99","8.7","8.6","297","6:24","395","0.0","391","549","0.0","0.0","0","0","0","--","0:00","19.0","0:00","No","00:03.87","7","27.0","00:38:26","00:38:31","8","15"
Trail Running,2023-10-08 12:23:51,false,"Cardiff Trail Running","8.16","1,072","01:38:13","142","167","3.9","100","217","12:02","6:17","301","299","0.82","8.7","6.7","327","11:02","262","0.0","199","580","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:11.31","9","0.0","01:26:07","01:38:13","80","278"
Running,2023-10-05 19:42:10,false,"Cardiff Running","5.01","525","00:31:31","166","177","5.0","154","167","6:17","4:35","10","8","1.02","8.5","8.7","293","6:16","406","0.0","396","499","0.0","0.0","0","0","0","--","0:00","24.0","0:00","No","00:03.72","6","29.0","00:31:03","00:31:31","7","12"
Running,2023-10-03 18:29:03,false,"Cardiff Running","7.26","773","00:48:50","157","170","4.4","147","165","6:43","5:13","36","20","0.99","8.4","8.3","296","6:42","390","0.0","364","545","0.0","0.0","0","0","0","--","0:00","22.0","0:00","No","06:09.69","5","28.0","00:48:34","00:49:03","6","12"
Running,2023-10-02 17:07:41,false,"Cardiff Running","6.44","775","00:43:41","157","172","4.1","148","164","6:47","4:02","20","15","0.98","8.6","8.4","302","6:47","378","0.0","361","668","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:02.40","5","0.0","00:43:19","00:44:18","11","22"
